tid	ø…º«≥ªøÎ	∞©ø ªÛ√º	∞©ø «œ√º	π´±‚	πÊ∆–	≈ı±∏	π›¡ˆ	∏Ò∞…¿Ã	Ω≈πﬂ	¿Â∞©	Type	PointType	Level_limit	Rank_limit	»Æ∑¸	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id
1	Weapon Damage +1			O							1		1	1	450						1																																																									°€			
2	Weapon Damage +2			O							1		1	1	400						2																																																									°€			
3	Weapon Damage +3			O							1		1	1	100						3																																																									°€			
4	Weapon Damage +4			O							1		1	1	40						4																																																									°€			
5	Weapon Damage +5			O							1		1	1	10						5																																																									°€			
6	Weapon Damage +6			O							1		1	1	5						6																																																									°€			
7	Weapon Damage +7			O							1		1	1	4						7																																																									°€			
8	Weapon Damage +8			O							1		1	1	3						8																																																									°€			
9	Weapon Damage +9			O							1		1	1	2						9																																																									°€			
10	Weapon Damage +10			O							1		1	1	1						10																																																									°€			
11	Fortitude +2%		O								2		1	1	500							2																																																								°€			
12	Fortitude +3%		O								2		1	1	400							3																																																								°€			
13	Fortitude +4%		O								2		1	1	100							4																																																								°€			
14	Fortitude +5%		O								2		1	1	50							5																																																								°€			
15	Fortitude +6%		O								2		1	1	5							6																																																								°€			
16	Discipline +2%	O			O						3		1	1	500								2																																																							°€			
17	Discipline +3%	O			O						3		1	1	400								3																																																							°€			
18	Discipline +4%	O			O						3		1	1	100								4																																																							°€			
19	Discipline +5%	O			O						3		1	1	50								5																																																							°€			
20	Discipline +6%	O			O						3		1	1	5								6																																																							°€			
21	Maximum Health +10		O								4		1	1	500																																					10																										°€			
22	Maximum Health +20		O								4		1	1	400																																					20																										°€			
23	Maximum Health +30		O								4		1	1	100																																					30																										°€			
24	Maximum Health +40		O								4		1	1	50																																					40																										°€			
25	Maximum Health +50		O								4		1	1	5																																					50																										°€			
26	Maximum Mana +10		O								5		1	1	500																																						10																									°€			
27	Maximum Mana +20		O								5		1	1	400																																						20																									°€			
28	Maximum Mana +30		O								5		1	1	100																																						30																									°€			
29	Maximum Mana +40		O								5		1	1	50																																						40																									°€			
30	Maximum Mana +50		O								5		1	1	5																																						50																									°€			
31	Maximum Health +4%	O									6	1	1	1	500																																							4																								°€			
32	Maximum Health +5%	O									6	1	1	1	400																																							5																								°€			
33	Maximum Health +6%	O									6	1	1	1	100																																							6																								°€			
34	Maximum Health +7%	O									6	1	1	1	50																																							7																								°€			
35	Maximum Health +8%	O									6	1	1	1	5																																							8																								°€			
36	Maximum Mana +4%	O									7	1	1	1	500																																								4																							°€			
37	Maximum Mana +5%	O									7	1	1	1	400																																								5																							°€			
38	Maximum Mana +6%	O									7	1	1	1	100																																								6																							°€			
39	Maximum Mana +7%	O									7	1	1	1	50																																								7																							°€			
40	Maximum Mana +8%	O									7	1	1	1	5																																								8																							°€			
41	Movement Speed increased by +1%								O		8	1	1	1	500					1																																																										°€			
42	Movement Speed increased by +2%								O		8	1	1	1	400					2																																																										°€			
43	Movement Speed increased by +3%								O		8	1	1	1	100					3																																																										°€			
44	Movement Speed increased by +4%								O		8	1	1	1	50					4																																																										°€			
45	Movement Speed increased by +5%								O		8	1	1	1	5					5																																																										°€			
46	Attack Speed +1%									O	9	1	1	1	500				1																																																											°€			
47	Attack Speed +2%									O	9	1	1	1	400				2																																																											°€			
48	Attack Speed +3%									O	9	1	1	1	100				3																																																											°€			
49	Attack Speed +4%									O	9	1	1	1	50				4																																																											°€			
50	Attack Speed +5%									O	9	1	1	1	5				5																																																											°€			
51	Strength +1						O				10		1	1	500																																									1																						°€			
52	Strength +2						O				10		1	1	400																																									2																						°€			
53	Strength +3						O				10		1	1	150																																									3																						°€			
54	Strength +4						O				10		1	1	100																																									4																						°€			
